Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Franco, Sánchez, Vargas, SALL109, 666999
Valentina, Ramírez, Castro, SALL110, 777000
Maximiliano, Pérez, Sánchez, SALL111, 888111
Isabella, Torres, Rodríguez, SALL112, 999222
Emilia, Muñoz, Herrera, SALL113, 111333
Diego, Fernández, Gómez, SALL114, 222444
Luciana, Salazar, Suárez, SALL115, 333555
Joaquín, Vega, Torres, SALL116, 444666
Antonia, Soto, Ramírez, SALL117, 555777
Matías, León, Díaz, SALL118, 666888
Agustina, Castro, Martínez, SALL119, 777999
Lucas, Mendoza, Vargas, SALL120, 888000
Martina, Ramírez, Herrera, SALL121, 999111
Miguel, Muñoz, Salazar, SALL122, 111222
Florencia, Pérez, Rodríguez, SALL123, 222333
Tomás, Sánchez, Torres, SALL124, 333444
Valentina, Gómez, Suárez, SALL125, 444555
Lautaro, Salazar, Vega, SALL126, 555666
Renata, Castro, Sánchez, SALL127, 666777
Mariano, Delgado, Ramírez, SALL128, 777888
