Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Julia, Sánchez, Rodríguez, SALL31, 444555
Rodrigo, Martínez, Pérez, SALL32, 555666
Camila, Fernández, Díaz, SALL33, 666777
Diego, González, Ramírez, SALL34, 777888
Valentina, Ruiz, Herrera, SALL35, 888999
Mateo, García, Muñoz, SALL36, 999000
Paulina, Ortiz, Vargas, SALL37, 111222
Andrea, Molina, Gómez, SALL38, 222333
Francisco, León, Torres, SALL39, 333444
Carolina, Vega, Salazar, SALL40, 444555
Renato, Suárez, Cordero, SALL41, 555666
Martina, Castro, Navarro, SALL42, 666777
Felipe, Soto, Morales, SALL43, 777888
Valeria, Jiménez, Delgado, SALL44, 888999
Gabriel, Herrera, Sánchez, SALL45, 999000
Catalina, Pérez, Mendoza, SALL46, 111222
Nicolás, Ramón, Flores, SALL47, 222333
Isabella, Mendoza, Torres, SALL48, 333444
Benjamín, Torres, Martínez, SALL49, 444555
Antonia, Delgado, Ramírez, SALL50, 555666
