Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Martínez, Ramírez, SALL1, 123456
María, González, Fernández, SALL2, 234567
Luis, Hernández, Pérez, SALL3, 345678
Ana, Ortega, Rodríguez, SALL4, 456789
Carlos, Rivera, Sánchez, SALL5, 567890
Laura, Gómez, Martínez, SALL6, 678901
Pedro, Díaz, López, SALL7, 789012
Isabel, Torres, Ramón, SALL8, 890123
Miguel, Rodríguez, Jiménez, SALL9, 901234
Sofía, Mendoza, García, SALL10, 117233
Alejandro, Pérez, Ortiz, SALL11, 223344
Paula, Suárez, Alvarez, SALL12, 334455
Javier, Morales, Cruz, SALL13, 445566
Carmen, Jiménez, Vega, SALL14, 556677
Raúl, Moreno, Delgado, SALL15, 667788
Elena, Gutiérrez, Navarro, SALL16, 778899
Daniel, Ramos, Castro, SALL17, 889900
Marta, Reyes, Guerrero, SALL18, 990011
Roberto, Cabrera, Reyes, SALL19, 112233
Silvia, Flores, Mendoza, SALL20, 224466
Héctor, Ramírez, Soto, SALL21, 336699
Alicia, Vega, Pérez, SALL22, 448822
Jorge, Mendoza, León, SALL23, 551155
Natalia, Rivero, Ruiz, SALL24, 663388
Fernando, Navarro, Alonso, SALL25, 775511
Lucía, García, Guerrero, SALL26, 887744
Andrés, López, Molina, SALL27, 999977
Adriana, Pérez, Martínez, SALL28, 111100
Mateo, Ramírez, Santos, SALL29, 222211
Beatriz, Fernández, Luna, SALL30, 333322
