Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Martina, Torres, Ramírez, SALL90, 555000
Benjamín, Sánchez, Vargas, SALL91, 666111
Trinidad, León, Suárez, SALL92, 777222
Lorenzo, Pérez, Martínez, SALL93, 888333
Florencia, Díaz, Muñoz, SALL94, 999444
Agustín, Salazar, Castro, SALL95, 111555
Antonia, Gómez, Torres, SALL96, 222666
Sebastián, Soto, Fernández, SALL97, 333777
Valentina, Ramírez, Herrera, SALL98, 444888
Matías, Navarro, Ramírez, SALL99, 555999
Amanda, Muñoz, Salazar, SALL100, 666000
León, Castro, Gómez, SALL101, 777111
Constanza, Vargas, León, SALL102, 888222
Matías, Pérez, Muñoz, SALL103, 999333
Renata, Vega, Ramírez, SALL104, 111444
Mariano, Mendoza, Sánchez, SALL105, 222555
Sofía, Herrera, Castro, SALL106, 333666
Emiliano, Suárez, Torres, SALL107, 444777
Camila, Delgado, Rodríguez, SALL108, 555888
