Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Martín, Suárez, Torres, SALL71, 444111
Abril, Delgado, Gómez, SALL72, 555222
Ignacio, Sánchez, Pérez, SALL73, 666333
Valentina, Vargas, Salazar, SALL74, 777444
Emilio, Rodríguez, Díaz, SALL75, 888555
Catalina, Ramírez, Muñoz, SALL76, 999666
Tomás, Martínez, Herrera, SALL77, 111777
Isabella, Castro, Ramírez, SALL78, 222888
Lautaro, Flores, Mendoza, SALL79, 333999
Antonella, Navarro, Torres, SALL80, 444000
Joaquín, Salazar, León, SALL81, 555111
Renata, Vega, Suárez, SALL82, 666222
Maximiliano, Muñoz, Rodríguez, SALL83, 777333
Lucía, Soto, Gómez, SALL84, 888444
Santiago, Fernández, Díaz, SALL85, 999555
Valentina, Pérez, León, SALL86, 111666
Mateo, Jiménez, Sánchez, SALL87, 222777
Mía, Castro, Salazar, SALL88, 333888
Diego, Sánchez, Mendoza, SALL89, 444999
