Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, VEN61, 444111
Sofía, Torres, Pérez, VEN62, 555222
Lucía, Salazar, Martínez, VEN63, 666333
Andrés, Rodríguez, Díaz, VEN64, 777444
Isabella, Sánchez, Muñoz, VEN65, 888555
Mateo, Fernández, Castro, VEN66, 999666
Camila, Pérez, Salazar, VEN67, 111777
Martín, Gómez, Ramírez, VEN68, 222888
Antonia, Muñoz, Vargas, VEN69, 333999
Santiago, Suárez, Sánchez, VEN70, 444000
Joaquín, Castro, Torres, VEN71, 555111
Constanza, Delgado, Gómez, VEN72, 666222
Renata, Vega, Salazar, VEN73, 777333
Luciano, Ramírez, Soto, VEN74, 888444
Isabella, Díaz, León, VEN75, 999555
Valentina, Mendoza, Fernández, VEN76, 111666
Gabriel, Torres, Suárez, VEN77, 222777
Mariana, Castro, Gómez, VEN78, 333888

