Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, VEN41, 444111
Sofía, Torres, Pérez, VEN42, 555222
Lucía, Salazar, Martínez, VEN43, 666333
Andrés, Rodríguez, Díaz, VEN44, 777444
Isabella, Sánchez, Muñoz, VEN45, 888555
Mateo, Fernández, Castro, VEN46, 999666
Camila, Pérez, Salazar, VEN47, 111777
Martín, Gómez, Ramírez, VEN48, 222888
Antonia, Muñoz, Vargas, VEN49, 333999
Santiago, Suárez, Sánchez, VEN50, 444000
Joaquín, Castro, Torres, VEN51, 555111
Constanza, Delgado, Gómez, VEN52, 666222
Renata, Vega, Salazar, VEN53, 777333
Luciano, Ramírez, Soto, VEN54, 888444
Isabella, Díaz, León, VEN55, 999555
Valentina, Mendoza, Fernández, VEN56, 111666
Gabriel, Torres, Suárez, VEN57, 222777
Mariana, Castro, Gómez, VEN58, 333888
Lautaro, Salazar, Pérez, VEN59, 444999
Florencia, Sánchez, Torres, VEN60, 555000
