Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, VEN101, 444111
Sofía, Torres, Pérez, VEN102, 555222
Lucía, Salazar, Martínez, VEN103, 666333
Andrés, Rodríguez, Díaz, VEN104, 777444
Isabella, Sánchez, Muñoz, VEN105, 888555
Mateo, Fernández, Castro, VEN106, 999666
Camila, Pérez, Salazar, VEN107, 111777
Martín, Gómez, Ramírez, VEN108, 222888
Antonia, Muñoz, Vargas, VEN109, 333999
Santiago, Suárez, Sánchez, VEN110, 444000
Joaquín, Castro, Torres, VEN111, 555111
Constanza, Delgado, Gómez, VEN112, 666222
Renata, Vega, Salazar, VEN113, 777333
Luciano, Ramírez, Soto, VEN114, 888444
Isabella, Díaz, León, VEN115, 999555
Valentina, Mendoza, Fernández, VEN116, 111666
Gabriel, Torres, Suárez, VEN117, 222777
Mariana, Castro, Gómez, VEN118, 333888
Lautaro, Salazar, Pérez, VEN119, 444999
Florencia, Sánchez, Torres, VEN120, 555000
