Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, SAN61, 444111
Sofía, Torres, Pérez, SAN62, 555222
Lucía, Salazar, Martínez, SAN63, 666333
Andrés, Rodríguez, Díaz, SAN64, 777444
Isabella, Sánchez, Muñoz, SAN65, 888555
Mateo, Fernández, Castro, SAN66, 999666
Camila, Pérez, Salazar, SAN67, 111777
Martín, Gómez, Ramírez, SAN68, 222888
Antonia, Muñoz, Vargas, SAN69, 333999
Santiago, Suárez, Sánchez, SAN70, 444000
Joaquín, Castro, Torres, SAN71, 555111
Constanza, Delgado, Gómez, SAN72, 666222
Renata, Vega, Salazar, SAN73, 777333
Luciano, Ramírez, Soto, SAN74, 888444
Isabella, Díaz, León, SAN75, 999555
Valentina, Mendoza, Fernández, SAN76, 111666
Gabriel, Torres, Suárez, SAN77, 222777
Mariana, Castro, Gómez, SAN78, 333888
Lautaro, Salazar, Pérez, SAN79, 444999
Florencia, Sánchez, Torres, SAN80, 555000
