Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Lucía, Suárez, Ramírez, SAN41, 666111
Juan, Torres, Pérez, SAN42, 777222
Sofía, Salazar, Martínez, SAN43, 888333
Andrés, Rodríguez, Díaz, SAN44, 999444
Isabella, Sánchez, Muñoz, SAN45, 111555
Mateo, Fernández, Castro, SAN46, 222666
Camila, Pérez, Salazar, SAN47, 333777
Martín, Gómez, Ramírez, SAN48, 444888
Antonia, Muñoz, Vargas, SAN49, 555999
Santiago, Suárez, Sánchez, SAN50, 666000
Joaquín, Castro, Torres, SAN51, 777111
Constanza, Delgado, Gómez, SAN52, 888222
Renata, Vega, Salazar, SAN53, 999333
Luciano, Ramírez, Soto, SAN54, 111444
Isabella, Díaz, León, SAN55, 222555
Valentina, Mendoza, Fernández, SAN56, 333666
Gabriel, Torres, Suárez, SAN57, 444777
Mariana, Castro, Gómez, SAN58, 555888
Lautaro, Salazar, Pérez, SAN59, 666999
Florencia, Sánchez, Torres, SAN60, 777000
