Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Lucía, Suárez, Ramírez, SAN1, 222111
Juan, Torres, Pérez, SAN2, 333222
Sofía, Salazar, Martínez, SAN3, 444333
Andrés, Rodríguez, Díaz, SAN4, 555444
Isabella, Sánchez, Muñoz, SAN5, 666555
Mateo, Fernández, Castro, SAN6, 777666
Camila, Pérez, Salazar, SAN7, 888777
Martín, Gómez, Ramírez, SAN8, 999888
Antonia, Muñoz, Vargas, SAN9, 111999
Santiago, Suárez, Sánchez, SAN10, 222000
Joaquín, Castro, Torres, SAN11, 333111
Constanza, Delgado, Gómez, SAN12, 444222
Renata, Vega, Salazar, SAN13, 555333
Luciano, Ramírez, Soto, SAN14, 666444
Isabella, Díaz, León, SAN15, 777555
Valentina, Mendoza, Fernández, SAN16, 888666
Gabriel, Torres, Suárez, SAN17, 999777
Mariana, Castro, Gómez, SAN18, 111888
Lautaro, Salazar, Pérez, SAN19, 222999
Florencia, Sánchez, Torres, SAN20, 333000
