Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, SAN101, 444111
Sofía, Torres, Pérez, SAN102, 555222
Lucía, Salazar, Martínez, SAN103, 666333
Andrés, Rodríguez, Díaz, SAN104, 777444
Isabella, Sánchez, Muñoz, SAN105, 888555
Mateo, Fernández, Castro, SAN106, 999666
Camila, Pérez, Salazar, SAN107, 111777
Martín, Gómez, Ramírez, SAN108, 222888
Antonia, Muñoz, Vargas, SAN109, 333999
Santiago, Suárez, Sánchez, SAN110, 444000
Joaquín, Castro, Torres, SAN111, 555111
Constanza, Delgado, Gómez, SAN112, 666222
Renata, Vega, Salazar, SAN113, 777333
Luciano, Ramírez, Soto, SAN114, 888444
Isabella, Díaz, León, SAN115, 999555
Valentina, Mendoza, Fernández, SAN116, 111666
Gabriel, Torres, Suárez, SAN117, 222777
Mariana, Castro, Gómez, SAN118, 333888
Lautaro, Salazar, Pérez, SAN119, 444999
Florencia, Sánchez, Torres, SAN120, 555000
