Nombre, ApellidoPaterno, ApellidoMaterno, CodigoEstudiante, CI
Juan, Suárez, Ramírez, SAN21, 444111
Sofía, Torres, Pérez, SAN22, 555222
Lucía, Salazar, Martínez, SAN23, 666333
Andrés, Rodríguez, Díaz, SAN24, 777444
Isabella, Sánchez, Muñoz, SAN25, 888555
Mateo, Fernández, Castro, SAN26, 999666
Camila, Pérez, Salazar, SAN27, 111777
Martín, Gómez, Ramírez, SAN28, 222888
Antonia, Muñoz, Vargas, SAN29, 333999
Santiago, Suárez, Sánchez, SAN30, 444000
Joaquín, Castro, Torres, SAN31, 555111
Constanza, Delgado, Gómez, SAN32, 666222
Renata, Vega, Salazar, SAN33, 777333
Luciano, Ramírez, Soto, SAN34, 888444
Isabella, Díaz, León, SAN35, 999555
Valentina, Mendoza, Fernández, SAN36, 111666
Gabriel, Torres, Suárez, SAN37, 222777
Mariana, Castro, Gómez, SAN38, 333888
Lautaro, Salazar, Pérez, SAN39, 444999
Florencia, Sánchez, Torres, SAN40, 555000
